concept_id	concept_synonym_name	language_concept_id
41881315	Commonwealth of Australia	4180186
41881318	Territory of Christmas Island	4180186
41881319	Territory of the Cocos (Keeling) Islands	4180186
41881320	Coral Sea Islands Territory	4180186
41881324	Territory of Norfolk Island	4180186
41881594	Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest	4182503
41881595	Vlaanderen	4182503
41881605	Wallonie	4182503
41881612	Antwerpen	4182503
41881612	Provincie Antwerpen	4182503
41881624	Oost-Vlaanderen	4182503
41881624	Provincie Oost-Vlaanderen	4182503
41881663	Provincie Vlaams-Brabant	4182503
41881663	Vlaams-Brabant	4182503
41881701	Provincie Limburg	4182503
41881723	Brabant wallon	4182503
41881730	Provincie West-Vlaanderen	4182503
41881730	West-Vlaanderen	4182503
41881731	Arrondissement Aalst	4182503
41881732	Antwerpen	4182503
41881732	Arrondissement Antwerpen	4182503
41881763	Arrondissement Brugge	4182503
41881782	Brussel-Hoofdstad - Bruxelles-Capitale	4182503
41881791	Arrondissement Dendermonde	4182503
41881821	Arrondissement Diksmuide	4182503
41881830	Arrondissement Eeklo	4182503
41881834	Arrondissement Gent	4182503
41881835	Arrondissement Halle-Vilvoorde	4182503
41881838	Arrondissement Hasselt	4182503
41881850	Arrondissement Ieper	4182503
41881856	Arrondissement Kortrijk	4182503
41881865	Arrondissement Leuven	4182503
41881882	Arrondissement Maaseik	4182503
41881884	Arrondissement Mechelen	4182503
41881934	Arrondissement Oostende	4182503
41881934	Oostende	4182503
41881935	Arrondissement Oudenaarde	4182503
41881943	Arrondissement Roeselare	4182503
41881956	Arrondissement Sint-Niklaas	4182503
41881975	Arrondissement Tielt	4182503
41881982	Arrondissement Tongeren	4182503
41881984	Arrondissement Turnhout	4182503
41881988	Arrondissement Veurne	4182503
41884534	Região Metropolitana da Grande Vitória	4181536
41884535	Região Metropolitana de Porto Alegre	4181536
41890291	België / Belgique / Belgien	4182503
41890291	Koninkrijk België / Royaume de Belgique / Königreich Belgien	4182503
41890305	Antwerpen	4182503
41890522	Gent	4182503
41890714	Menen	4182503
41890766	Oostende	4182503
41890824	Sankt Vith	4182503
41890921	Ieper	4182503
41891091	Bruxelles / Brussel	4182503
41891545	Menen	4182503
41892069	Ieper	4182503
41892130	Brasil	4181536
41892130	República Federativa do Brasil	4181536
41892131	Região Centro-Oeste	4181536
41892132	Região Nordeste	4181536
41892133	Região Norte	4181536
41892134	Região Sudeste	4181536
41892135	Região Sul	4181536
41892143	Distrito Federal	4181536
41892638	Microrregião Rio de Janeiro	4181536
41896534	Fonte Grande Quarta Seção	4181536
41896687	Granja Nove de Julho	4181536
41897058	Riacho Fundo Dois	4181536
41897897	Setor Complementar de Indústria e Abastecimento	4181536
41897977	Setor de Indústria e Abastecimento	4181536
41898016	Sobradinho Dois	4181536
41899420	4º Distrito	4181536
41899867	5º Distrito	4181536
41900072	Ipiranga	4181536
41900894	Alvorada Primeira Seção	4181536
41900897	Alvorada Segunda Seção	4181536
41900941	Alvorada Terceira Seção	4181536
41900945	Alvorada Quarta Seção	4181536
41900959	Alvorada Quinta Seção	4181536
41900984	Amazonas Primeira Seção	4181536
41901007	Amazonas Segunda Seção	4181536
41901061	Jardim Laguna Segunda Seção	4181536
41901069	Jardim Laguna Terceira Seção	4181536
41901987	Chácaras Contagem Primeira Gleba	4181536
41902619	2º Distrito	4181536
41902926	Santa Cruz	4181536
41903089	Riacho	4181536
41903449	3º Distrito	4181536
41903998	1º Distrito	4181536
41904595	1º Distrito	4181536
41904643	7º Distrito	4181536
41904655	3º Distrito	4181536
41904669	9º Distrito	4181536
41904685	2º Distrito	4181536
41904704	6º Distrito	4181536
41904713	4º Distrito	4181536
41904718	8º Distrito	4181536
41904859	Agrim Correia da Vitória	4181536
41904935	Parque Alto da Figueira	4181536
41905082	Setor 15	4181536
41905110	Aparecida Sétima Seção	4181536
41905139	Unidade Territorial 01	4181536
41905195	Arvoredo Segunda Seção	4181536
41905281	Bairro das Indústrias Um	4181536
41905282	Bairro das Indústrias Dois	4181536
41905434	Barreiro	4181536
41905542	Bela Vista Segunda Seção	4181536
41905580	Bernardo Monteiro Primeira Seção e Conjunto Habitacional Presidente Costa e Silva	4181536
41905581	Bernardo Monteiro Segunda Seção	4181536
41905722	Setor 02	4181536
41905995	Canaã Primeira Seção	4181536
41905996	Canaã Segunda Seção	4181536
41906153	CDI I e II	4181536
41906156	Companhia de Distritos Industriais - Jatobá	4181536
41906326	Setor 01	4181536
41906381	Unidade Territorial 06	4181536
41906482	Conjunto Habitacional Paulo Camilo Três	4181536
41906570	Chácaras Contagem Segunda Gleba	4181536
41906571	Chácaras Contagem Terceira Gleba	4181536
41906599	Chácara Campestre	4181536
41906719	Cidade Nova Primeira Seção	4181536
41906720	Cidade Nova Segunda Seção	4181536
41906721	Cidade Nova Terceira Seção	4181536
41906723	Lote Quinze	4181536
41906745	Centro Industrial de Contagem	4181536
41906750	Centro Industrial de Contagem II	4181536
41906751	Centro Industrial de Contagem Três	4181536
41906854	Colorado Segunda Seção	4181536
41906930	Conjunto Habitacional Vereador José Custódio	4181536
41906933	Teixeira Dias	4181536
41906938	Conjunto Califórnia Um	4181536
41906939	Conjunto Califórnia Dois	4181536
41906981	Conjunto Habitacional Paulo Camilo Um	4181536
41906995	Conjunto Paulo Sexto	4181536
41907038	Coração de Jesus Segunda Seção	4181536
41907150	Setor 06	4181536
41907163	Cruzeiro do Sul Segunda Seção	4181536
41907412	Sítios Residencial Eliérica	4181536
41907538	Vila Estrela d'Alva	4181536
41907646	Fazenda do Confisco Segunda Seção	4181536
41907675	Fernão Dias Primeira Seção	4181536
41907676	Fernão Dias Segunda Seção	4181536
41907757	Fonte Grande Segunda Seção	4181536
41907758	Fonte Grande Terceira Seção	4181536
41907761	Fonte Grande Primeira Seção	4181536
41907817	Unidade Territorial 04	4181536
41908056	Centro Histórico	4181536
41908211	Industrial Primeira e Segunda Seção	4181536
41908213	Industrial Terceira Seção	4181536
41908214	Industrial Quarta Seção	4181536
41908257	Setor 09	4181536
41908636	Jardim das Alterosas Primeira Seção	4181536
41908638	Jardim das Alterosas Segunda Seção	4181536
41908679	Jardim das Rosas Primeira Seção	4181536
41908680	Jardim das Rosas Segunda Seção	4181536
41908681	Jardim das Roseiras Primeira Seção	4181536
41908682	Jardim das Roseiras Segunda Seção	4181536
41908820	Jardim Ibirité Dois	4181536
41908840	Jardim Industrial Segunda Seção	4181536
41908885	Jardim Laguna Primeira Seção	4181536
41908932	Jardim Monsenhor Horta Primeira Seção	4181536
41908933	Jardim Monsenhor Horta Segunda Seção	4181536
41908939	Jardim Montréal Primeira Seção	4181536
41909023	Unidade Territorial 13	4181536
41909244	Residencial João Antônio Fagundes	4181536
41909282	Presidente Kennedy Primeira Seção	4181536
41909290	Setor 16	4181536
41909293	Lago Azul Terceira Seção	4181536
41909338	Juscelino Kubistchek	4181536
41909388	Lago Azul Segunda Seção	4181536
41909397	Lago Azul Primeira Seção	4181536
41909483	Unidade Territorial 09	4181536
41909667	Setor 07	4181536
41909849	Marilândia Primeira Seção	4181536
41909856	Marilândia Segunda Seção	4181536
41909857	Marilândia Terceira Seção	4181536
41910203	Nacional Primeira Seção	4181536
41910204	Nacional Segunda Seção	4181536
41910233	Setor 22	4181536
41910304	Glória	4181536
41910361	De Lourdes	4181536
41910516	Unidade Territorial 03	4181536
41910629	Unidade Territorial 11	4181536
41910670	Oséas de Almeida Neto	4181536
41910687	Ouro Preto Primeira Seção	4181536
41910688	Ouro Preto Segunda Seção	4181536
41910706	Padre Eustáquio Primeira Seção	4181536
41910751	Palmares Segunda Seção	4181536
41910752	Palmares Quarta Seção	4181536
41910885	Sítios de Recreio Parque das Américas	4181536
41910905	Chácara Residencial Parque das Nações	4181536
41910993	Parque Industrial do Resplendor Terceira Seção	4181536
41911004	Parque Jardim Primeiro de Outubro	4181536
41911040	Vila Parque Recreio	4181536
41911041	Parque Novo Progresso Primeira Seção	4181536
41911042	Parque Novo Progresso Segunda Seção	4181536
41911043	Parque Novo Progresso Terceira Seção	4181536
41911050	Unidade Territorial 14	4181536
41911061	Residencial Damha I Araraquara	4181536
41911078	Parque Riacho das Pedras Primeira Seção	4181536
41911079	Parque Riacho das Pedras Segunda Seção	4181536
41911127	Parque Xangri-Lá Primeira Seção	4181536
41911128	Parque Xangri-Lá Segunda Seção	4181536
41911129	Parque Xangri-Lá Terceira Seção	4181536
41911187	Pedra Azul Primeira Seção	4181536
41911188	Pedra Azul Segunda Seção	4181536
41911189	Pedra Azul Terceira Seção	4181536
41911248	Petrolândia Primeira Seção	4181536
41911249	Petrolândia Segunda Seção	4181536
41911253	Setor 04	4181536
41911270	Petrovale Primeira Seção	4181536
41911271	Petrovale Segunda Seção	4181536
41911376	Setor 21	4181536
41911629	Presidente Kennedy Primeira Seção	4181536
41911643	Unidade Territorial 07	4181536
41911736	Quintas da Jangada Segunda Seção	4181536
41911737	Quintas da Jangada Terceira Seção	4181536
41911770	Varjão	4181536
41911781	Recanto da Lagoa Primeira Seção	4181536
41911782	Recanto da Lagoa Segunda Seção	4181536
41912128	Resplendor Primeira Seção	4181536
41912129	Resplendor Segunda Seção	4181536
41912130	Resplendor Terceira Seção	4181536
41912154	Riacho Três	4181536
41912302	Setor 13	4181536
41912369	Santos Dumont Dois	4181536
41912578	Maria Goretti	4181536
41912579	Santa Mônica Primeira Seção	4181536
41912583	Santa Mônica Segunda Seção	4181536
41912585	Setor 08	4181536
41912590	Santa Mônica Terceira Seção	4181536
41912628	Jardim Santa Tereza	4181536
41912740	Vila Santo Afonso	4181536
41912834	Unidade Territorial 12	4181536
41912927	Setor 12	4181536
41913048	São Gonçalo Primeira Seção	4181536
41913049	São Gonçalo Segunda Seção	4181536
41913104	São Joaquim Terceira Seção	4181536
41913111	São Joaquim Primeira Seção	4181536
41913112	São Joaquim Segunda Seção	4181536
41913143	Setor 11	4181536
41913150	Unidade Territorial 10	4181536
41913171	São José do Pinhal	4181536
41913228	Setor 05	4181536
41913238	Vila São Mateus	4181536
41913288	Unidade Territorial 08	4181536
41913302	São Sebastião Primeira Seção	4181536
41913309	Sítios Residencial São Rosalvo	4181536
41913310	São Sebastião Segunda Seção	4181536
41913380	Setor Comercial Residencial Norte 708/709	4181536
41913408	Melo Viana	4181536
41913420	Bom Jesus	4181536
41913545	Québec	4180190
41913635	Chaudière-Appalaches	4180190
41913663	Sílvio Sisquini	4181536
41913775	Superquadra Norte 208	4181536
41913776	Superquadra Norte 707	4181536
41913777	Superquadra Norte 708	4181536
41913815	Unidade Territorial 05	4181536
41913825	Vila Cônego Pinheiro Primeira Seção	4181536
41913874	Vila Cônego Pinheiro Segunda Seção	4181536
41913905	Bairro da Tijuca	4181536
41913969	Unidade Territorial 15	4181536
41913974	Três Poderes Primeira Seção	4181536
41913975	Três Poderes Segunda Seção	4181536
41913976	Três Poderes Terceira Seção	4181536
41913977	Unidade Territorial 02	4181536
41914058	União Primeira Seção	4181536
41914059	União Segunda Seção	4181536
41914060	União Terceira Seção	4181536
41914142	Setor 17	4181536
41914171	Vila Alta Tensão Primeira Seção	4181536
41914187	Vila Ambrosina Segunda Seção	4181536
41914211	Setor 03	4181536
41914235	Setor 10	4181536
41914251	Vila Primeiro de Maio	4181536
41914252	Vila Trinta e Um de Março	4181536
41914262	Vila Alta Tensão Segunda Seção	4181536
41914272	Vila Ambrosina Primeira Seção	4181536
41914285	Vila Antônio Ribeiro de Abreu Primeira Seção	4181536
41914286	Vila Antônio Ribeiro de Abreu Segunda Seção	4181536
41914287	Vila Antônio Ribeiro de Abreu Terceira Seção	4181536
41914314	Vila Barão Homem de Melo Primeira Seção	4181536
41914315	Vila Barão Homem de Melo Segunda Seção	4181536
41914316	Vila Barão Homem de Melo Terceira Seção	4181536
41914317	Vila Barão Homem de Melo Quarta Seção	4181536
41914350	Vila Boa União Primeira Seção	4181536
41914351	Vila Boa União Segunda Seção	4181536
41914374	Vila Camponesa Primeira Seção	4181536
41914375	Vila Camponesa Segunda Seção	4181536
41914416	Vila Cowan Primeira Seção	4181536
41914417	Vila Cowan Segunda Seção	4181536
41914420	Vila Cristina Terceira Seção	4181536
41914572	Vila Independência Primeira Seção	4181536
41914573	Vila Independência Segunda Seção	4181536
41914574	Vila Independência Terceira Seção	4181536
41914613	Vila Jardim Eldorado Primeira Seção	4181536
41914657	Setor 18	4181536
41914660	Vila Madre Gertrudes Primeira Seção	4181536
41914661	Vila Madre Gertrudes Segunda Seção	4181536
41914662	Vila Madre Gertrudes Terceira Seção	4181536
41914664	Vila Madre Gertrudes Quarta Seção	4181536
41914698	Vila Marieta Primeira Seção	4181536
41914699	Vila Marieta Segunda Seção	4181536
41914700	Vila Marieta Terceira Seção	4181536
41914710	Setor 14	4181536
41914831	Vila Nova Cachoeirinha Primeira Seção	4181536
41914832	Vila Nova Cachoeirinha Segunda Seção	4181536
41914833	Vila Nova Cachoeirinha Terceira Seção	4181536
41914839	Vila Nova Esperança Primeira Seção	4181536
41914840	Vila Nova Esperança Segunda Seção	4181536
41914841	Vila Nova Esperança Terceira Seção	4181536
41914842	Vila Nova Esperança Quarta Seção	4181536
41914843	Vila Nova Gameleira Primeira Seção	4181536
41914844	Vila Nova Gameleira Segunda Seção	4181536
41914845	Vila Nova Gameleira Terceira Seção	4181536
