concept_id,concept_synonym_name,language_concept_id
2,Arthritis,NA
3,Osteoarthrosis,NA
600683,minutes,4180186
600683,minute (qualifier value),4180186
600683,min,4180186
600684,minute 1 (qualifier value),4180186
600684,min 1,4180186
601827,Cycles per minute,4180186
601827,Cycles per minute (qualifier value),4180186
602301,ampoule-pair (qualifier value),4180186
602302,SQ-Bet (qualifier value),4180186
607920,min 0.1,4180186
607920,minute 0.1 (qualifier value),4180186
618629,Black Irish (ethnic group),4180186
703254,scoop (qualifier value),4180186
759814,Ethnicity unknown,4180186
759814,Ethnic category unknown,4180186
759814,Ethnic group unknown (ethnic group),4180186
763755,Cells per 100 white blood cells,4180186
763755,Cells per 100 white blood cells (qualifier value),4180186
763755,Cells/100 WBCs,4180186
764400,Rwandan franc (qualifier value),4180186
3557687,New Zealand ethnic group NOS (ethnic group),4180186
3557980,Other Asian (ethnic group),4180186
3558014,Other white ethnic group (ethnic group),4180186
3566536,Drops/min,4180186
3566536,Drops per minute (qualifier value),4180186
3661713,Khoikhoi (ethnic group),4180186
3661939,dose step (qualifier value),4180186
3661940,SQ-U (qualifier value),4180186
3661941,SQ-U/ml (qualifier value),4180186
4000051,Egyptians (ethnic group),4180186
4002414,Ewe (ethnic group),4180186
4005076,Finns (ethnic group),4180186
4012103,Guamians (ethnic group),4180186
4012612,Coushatta (ethnic group),4180186
4014099,Aymara (ethnic group),4180186
4014421,Armenians (ethnic group),4180186
4017926,Onge (ethnic group),4180186
4024294,French (ethnic group),4180186
4027841,Flathead (ethnic group),4180186
4028336,Malays (ethnic group),4180186
4028346,Tanganyikans (ethnic group),4180186
4030302,South Asian AND/OR Australian aborigine (ethnic group),4180186
4030411,Caucasoid,4180186
4030411,Caucasian (ethnic group),4180186
4030735,Tutsi (ethnic group),4180186
4031845,Danes (ethnic group),4180186
4032635,Greeks (ethnic group),4180186
4033391,Welsh (ethnic group),4180186
4034654,Batutsi (ethnic group),4180186
4035165,United States Black,4180186
4035165,African American (ethnic group),4180186
4036536,Kenyans (ethnic group),4180186
4037633,Unit of dietary equivalents (qualifier value),4180186
4037634,Unit of dietary exchange (qualifier value),4180186
4037635,Unit of dietary protein exchange (qualifier value),4180186
4037636,2g protein exchanges/meal (qualifier value),4180186
4037637,10g carbohydrate exchanges/meal (qualifier value),4180186
4037638,Joule/feed,4180186
4037638,Joule/feed (qualifier value),4180186
4037638,joule/feed,4180186
4037639,megajoule/kilogram body weight,4180186
4037639,Megajoule/kilogram body weight,4180186
4037639,Megajoule/kilogram body weight (qualifier value),4180186
4037640,Microgram/feed (qualifier value),4180186
4037640,microgram/feed,4180186
4037640,Microgram/feed,4180186
4037641,liters per meal,4180186
4037641,Liter/meal (qualifier value),4180186
4037641,litres per meal,4180186
4037641,Litre/meal,4180186
4037641,Liter/meal,4180186
4037642,Litre/kilogram body weight,4180186
4037642,litres per kg body weight,4180186
4037642,Liter/kilogram body weight,4180186
4037642,Liter/kilogram body weight (qualifier value),4180186
4037642,liters per kg body weight,4180186
4037643,Milliliter/kilogram body weight (qualifier value),4180186
4037643,Milliliter/kilogram body weight,4180186
4037643,Millilitre/kilogram body weight,4180186
4037643,milliliter/kilogram body weight,4180186
4037643,millilitre/kilogram body weight,4180186
4037644,Ounce/day,4180186
4037644,Ounce/day (qualifier value),4180186
4037645,ounce/feed,4180186
4037645,Ounce/feed,4180186
4037645,Ounce/feed (qualifier value),4180186
4037646,pints per 24 hours,4180186
4037646,Pints/24 hours,4180186
4037646,Pints/24 hours (qualifier value),4180186
4037647,Fluid ounce/24 hours (qualifier value),4180186
4037647,Fluid ounce/24 hours,4180186
4037648,Fluid ounce/meal,4180186
4037648,Fluid ounces per meal,4180186
4037648,Fluid ounce/meal (qualifier value),4180186
4037649,bottles/feed (qualifier value),4180186
4037650,mugs/day (qualifier value),4180186
4037651,alcohol units/day (qualifier value),4180186
4037652,large slices/day (qualifier value),4180186
4037653,Small slices/day (qualifier value),4180186
4037654,packets/24h (qualifier value),4180186
4037655,packets/meal (qualifier value),4180186
4037656,scoops per meal,4180186
4037656,scoops/meal (qualifier value),4180186
4037657,Small slices/meal (qualifier value),4180186
4037797,Gray,4180186
4037797,gray,4180186
4037797,Gray (qualifier value),4180186
4037798,Gray/hour,4180186
4037798,gray/hour,4180186
4037798,Gray/hour (qualifier value),4180186
4037799,R/hour,4180186
4037799,roentgen/hour (qualifier value),4180186
4037800,Centigray/hour,4180186
4037800,centigray/hour,4180186
4037800,Centigray/hour (qualifier value),4180186
4037801,Microgray/minute,4180186
4037801,Microgray/minute (qualifier value),4180186
4037802,Millimeters of aluminum,4180186
4037802,Millimeters of aluminum (qualifier value),4180186
4037802,Millimetres of aluminium,4180186
4038004,Unit of dietetics and nutrition (qualifier value),4180186
4038005,mg alpha-tocopherol equivalents/day (qualifier value),4180186
4038006,Micrograms retinol equivalents/day,4180186
4038006,Micrograms retinol equivalents/day (qualifier value),4180186
4038007,2g protein exchanges/kg body weight (qualifier value),4180186
4038008,Unit of dietary carbohydrate exchange (qualifier value),4180186
4038009,10g carbohydrate exchanges/day (qualifier value),4180186
4038010,4 millimole potassium exchanges/day (qualifier value),4180186
4038011,4 millimole potassium exchanges/meal (qualifier value),4180186
4038012,Unit of dietary energy measurement (qualifier value),4180186
4038013,joule/milliliter,4180186
4038013,joule/millilitre,4180186
4038013,Joule/milliliter (qualifier value),4180186
4038013,Joule/milliliter,4180186
4038014,Kilocalorie/24 hours (qualifier value),4180186
4038014,Kilocalorie/24 hours,4180186
4038015,Megajoule/day,4180186
4038015,Megajoule/day (qualifier value),4180186
4038016,Kilocalorie/feed,4180186
4038016,Kilocalorie/feed (qualifier value),4180186
4038016,kilocalorie/feed,4180186
4038017,Megajoule/feed (qualifier value),4180186
4038017,Megajoule/feed,4180186
4038017,megajoule/feed,4180186
4038018,Joule/kilogram body weight,4180186
4038018,Joule/kilogram body weight (qualifier value),4180186
4038019,International unit/24 hours,4180186
4038019,International unit/24 hours (qualifier value),4180186
4038020,Gram/kilogram body weight (qualifier value),4180186
4038020,gram/kilogram body weight,4180186
4038020,Gram/kilogram body weight,4180186
4038021,Microgram/kilogram body weight (qualifier value),4180186
4038021,microgram/kg body weight,4180186
4038021,Microgram/kilogram body weight,4180186
4038022,Gram/meal,4180186
4038022,Gram/meal (qualifier value),4180186
4038022,gram/meal,4180186
4038158,Milligram/meal (qualifier value),4180186
4038158,Milligram/meal,4180186
4038159,Microgram/meal (qualifier value),4180186
4038159,Microgram/meal,4180186
4038159,microgram/meal,4180186
4038160,Milliliter/feed (qualifier value),4180186
4038160,milliliters per feed,4180186
4038160,Milliliter/feed,4180186
4038160,Millilitre/feed,4180186
4038160,millilitres per feed,4180186
4038161,millilitre/meal,4180186
4038161,Millilitre/meal,4180186
4038161,Milliliter/meal,4180186
4038161,Milliliter/meal (qualifier value),4180186
4038161,milliliter/meal,4180186
4038162,Ounce/24 hours (qualifier value),4180186
4038162,Ounce/24 hours,4180186
4038163,Ounce/meal (qualifier value),4180186
4038163,Ounce/meal,4180186
4038163,ounces per meal,4180186
4038164,pints/feed (qualifier value),4180186
4038165,fluid ounce/feed,4180186
4038165,Fluid ounce/feed,4180186
4038165,Fluid ounce/feed (qualifier value),4180186
4038166,pints/meal (qualifier value),4180186
4038166,pints per meal,4180186
4038167,cups/day (qualifier value),4180186
4038168,teaspoons/day (qualifier value),4180186
4038169,tablespoons/meal (qualifier value),4180186
4038170,Non-standard dietary quantity (qualifier value),4180186
4038171,packets/day (qualifier value),4180186
4038173,scoops/day (qualifier value),4180186
4038173,scoops per day,4180186
4038174,large pots/day (qualifier value),4180186
4038175,millimole/kilogram body weight,4180186
4038175,Millimole/kilogram body weight,4180186
4038175,Millimole/kilogram body weight (qualifier value),4180186
4038176,Micromole/kilogram body weight (qualifier value),4180186
4038176,Micromole/kilogram body weight,4180186
4038177,scoops/feed (qualifier value),4180186
4038187,kilovolt,4180186
4038187,kV (qualifier value),4180186
4038189,rad (qualifier value),4180186
4038189,radiation absorbed dose,4180186
4038189,RAD - radiation absorbed dose,4180186
4038190,rad/minute (qualifier value),4180186
4038191,ret (qualifier value),4180186
4038192,centigray,4180186
4038192,Centigray,4180186
4038192,Centigray (qualifier value),4180186
4039902,Minutes/day (qualifier value),4180186
4039902,Minutes/day,4180186
4040611,mg alpha-tocopherol equivalents/kg body weight (qualifier value),4180186
4040612,nicotinic acid equivalents/day (qualifier value),4180186
4040613,nicotinic acid equivalents/kg body weight (qualifier value),4180186
4040614,Micrograms retinol equivalents/kilogram body weight,4180186
4040614,Micrograms retinol equivalents/kilogram body weight (qualifier value),4180186
4040615,2g protein exchanges/day (qualifier value),4180186
4040616,6g protein exchanges/day (qualifier value),4180186
4040617,6g protein exchanges/kg body weight (qualifier value),4180186
4040749,7g protein exchanges/kg body weight (qualifier value),4180186
4040750,10g carbohydrate exchanges/kg body weight (qualifier value),4180186
4040751,4 millimole potassium exchanges/kg body weight (qualifier value),4180186
4040752,Megajoule/24 hours,4180186
4040752,Megajoule/24 hours (qualifier value),4180186
4040753,Unit of dietary mass measurement (qualifier value),4180186
4040754,Gram/feed (qualifier value),4180186
4040754,Gram/feed,4180186
4040755,Unit of dietary volume measurement (qualifier value),4180186
4040756,Liter/feed,4180186
4040756,liters per feed,4180186
4040756,Litre/feed,4180186
4040756,litres per feed,4180186
4040756,Liter/feed (qualifier value),4180186
4040757,Fluid ounce/day,4180186
4040757,Fluid ounce/day (qualifier value),4180186
4040757,fl oz/day (qualifier value),4180186
4040758,bottles/24h (qualifier value),4180186
4040759,bottles/meal (qualifier value),4180186
4040760,portions/day (qualifier value),4180186
4040761,packets/feed (qualifier value),4180186
4040762,large slices/meal (qualifier value),4180186
4040773,Gray/minute,4180186
4040773,gray/minute,4180186
4040773,Gray/minute (qualifier value),4180186
4040774,Megabecquerel (qualifier value),4180186
4040774,Megabecquerel,4180186
4040775,microgray,4180186
4040775,Microgray (qualifier value),4180186
4040775,Microgray,4180186
4040776,Centigray/minute,4180186
4040776,Centigray/minute (qualifier value),4180186
4040776,centigray/minute,4180186
4040778,Milligram radium equivalent,4180186
4040778,Milligram radium equivalent (qualifier value),4180186
4040779,Millimeters of copper,4180186
